symbol,company_name,isin,company_industry,sector,macro_category,basic_industry,listing_date,company_face_value,issued_size,market_cap_category,intrinsic_label,avg_revenue_from_operations,avg_other_income,avg_income,avg_employee_benefit_expense,avg_finance_costs,avg_depreciation_depletion_amortisation_expense,avg_other_expenses,avg_profit_before_tax,avg_tax_expense,avg_profit_loss_for_period,avg_basic_earnings_per_share,avg_diluted_earnings_per_share,avg_comprehensive_income,avg_paid_up_equity_share_capital,avg_face_value_equity_share_capital,avg_open,avg_close,avg_volume,volatility,year_change_percent,sharpe_ratio,avg_high,avg_low,year_start_price,year_end_price,avg_daily_return,avg_vwap_distance,avg_volume_spike,yearly_momentum_score,liquidity_score,stability_score,trend_strength,profit_margin,gross_profit_margin,return_on_equity,return_on_assets,operating_margin,asset_turnover,operational_efficiency,employee_productivity,debt_to_income,interest_coverage,earnings_growth,price_to_earnings,price_to_book,volume_price_ratio,high_low_ratio,price_volatility,market_cap_numeric,log_revenue,log_profit,log_market_cap,financial_health,cluster,pca_1,pca_2,performance_score
20MICRONS,20 Microns Limited,INE144J01027,Industrial Minerals,Metals & Mining,Commodities,Industrial Minerals,2008-10-06,5.0,35286502,Small,,2284600000.0,13464333.333333334,2298064333.333333,190991666.66666663,44646000.0,44336333.333333336,595686333.3333334,211515333.3333333,54467333.333333336,157576000.0,4.4533333333,4.4533333333,156473666.66666666,176433000.0,5.0,222.84,222.44,370105,54.1132,27.76,0.8427,229.81,216.55,152.75,195.15,0.002149,-0.003075,1.05616,0.3912,7.2619,2.8651,0.1319,0.0689731243981441,0.7392601184744229,0.8931209014186688,0.06856901163051281,0.09258309259097142,0.9941410111379243,0.34433949050161955,11.961778437104588,0.019427654549270673,4.7376099389269655,0.8868730150633195,49.94910179678106,44.48787644533619,1663.8419349037943,1.0612329716000923,0.24327099442546304,2,21.549456791701836,18.875418445873812,8.619782716680735,1.263662025816813,0,-1.2490511643673696,-0.010192311534548526,0.4218977183193223
21STCENMGM,21st Century Management Services Limited,INE253B01015,Other Capital Market related Services,Financial Services,Financial Services,Other Capital Market related Services,1995-05-03,10.0,10500000,Micro,,401382000.0,219666.6666666666,401601666.6666667,4210000.0,0.0,81000.0,2151666.6666666665,94914333.33333331,17769000.0,77145333.33333333,7.3466666667,7.3466666667,270241333.3333333,105000000.0,10.0,69.69,70.33,4915,1.3429,5.49,8.2813,70.72,68.52,67.9,71.63,0.007764,0.00748,1.038936,0.0543,0.0156,7.1513,0.4286,0.19219928480433435,0.9946393543640056,0.7347174603174603,0.19209415631575233,0.236468833513544,0.9994530235183287,0.015849406965600516,95.34014251781473,0.0,3.879132231404959,2.573726984126984,9.573049001771446,7.0329999999999995,69.88482866486564,1.0321074138937536,0.01909426987060998,1,19.810424152763098,18.161201659680106,3.9620848305526195,9.194787745121793,0,-3.011176442023022,1.5311248182963801,0.3187635209746083
360ONE,360 ONE WAM LIMITED,INE466L01038,Stockbroking & Allied,Financial Services,Financial Services,Stockbroking & Allied,2019-09-19,1.0,393073939,Large,IN-M,8239766666.666667,961266666.6666666,9201033333.333334,2125666666.6666667,2221433333.333333,169533333.33333334,751033333.3333334,3408500000.0,856166666.6666666,2552333333.333333,6.9233333333,6.64,2551833333.333333,371966666.6666667,1.0,999.54,998.5,817552,138.6884,17.61,0.5964,1021.96,976.83,739.9,870.2,0.001032,-0.000806,1.021722,0.255,9.8413,4.1398,0.0202,0.3097579624018479,0.9088525969586518,6.861725961107625,0.27739637939216966,0.41366462642550555,0.8955262271266633,0.3491239638662907,3.8763211541477185,0.24143302744981537,1.534369701243942,6.860381754637511,144.22243620676082,1055.159946477731,818.780170255383,1.0462004647686907,0.13889674511767652,4,22.832237863436113,21.660273810801087,18.26579029074889,6.380999923509473,1,6.01422804859873,-0.507149533420296,0.6492227717828781
3IINFOLTD,3i Infotech Limited,INE748C01038,Computers - Software & Consulting,Information Technology,Information Technology,Computers - Software & Consulting,2021-10-22,10.0,169627242,Small,,1477000000.0,34566666.666666664,1511566666.6666667,1072900000.0,20933333.33333333,68266666.66666667,328066666.6666667,21400000.0,18733333.33333333,2666666.6666666665,0.02,0.0166666667,2233333.333333333,1693966666.6666667,10.0,31.61,31.46,1039174,5.2735,-47.37,-1.0948,32.25,30.97,40.05,21.08,-0.002136,-0.004059,1.055783,-0.5276,9.8413,3.9885,0.2267,0.0018054615211013313,0.7778830963665087,0.0015742143686416495,0.0017641740357686284,0.014488828706838186,0.9771318940613491,0.9485217783795984,1.376642743964955,0.01384876618078373,1.0222929936305736,0.0013184045337373813,1573.0,3.1502821975953874,33031.59567705022,1.0413303196641912,0.1676255562619199,2,21.1132788411727,14.79634018597593,8.445311536469081,-1.1441553241102569,0,-1.2891314263241018,-0.412545828905185,0.39130829346374246
3MINDIA,3M India Limited,INE470A01017,Diversified,Diversified,Diversified,Diversified,2004-08-13,10.0,11265070,Large,IN-M,10824412000.0,189172333.3333333,11013584333.333334,1084059000.0,32854666.666666668,138610000.0,1456929333.3333333,1827270666.6666667,478283000.0,1348987666.6666667,119.75,119.75,1337559333.3333333,112651000.0,10.0,32667.28,32570.76,7097,3694.6217,-0.62,0.1171,33086.35,32137.39,29186.3,29006.3,0.000132,-0.000758,1.021796,0.0325,0.6985,6.5735,0.1255,0.12462456775173254,0.8654033740277686,11.97492846638438,0.12248398212958403,0.16881015492265694,0.9828237268079211,0.23474608443704223,9.985076458015662,0.0029831039262331583,55.616776916521246,11.873479448325654,271.9896450939457,3257.067326106293,0.21789482345514813,1.0295282224225426,0.11343369635832877,4,23.105069790745336,21.022620272296788,18.48405583259627,-24.72956396586389,3,8.817418199773837,2.362783299375377,0.6545335925349925
3PLAND,3P Land Holdings Limited,INE105C01023,Investment Company,Financial Services,Financial Services,Investment Company,1995-07-19,2.0,18000000,Micro,,11869666.666666666,0.0,11869666.666666666,3278333.333333333,0.0,109000.0,818000.0,7664333.333333333,1941666.6666666667,5722666.666666667,0.3166666667,0.3166666667,453196333.3333333,36000000.0,2.0,39.91,39.68,93313,11.6152,32.52,1.2233,41.23,38.26,30.75,40.75,0.004994,-0.002077,1.106514,0.5494,4.1103,2.8757,0.0909,0.48212530540032017,0.9310848381027268,0.15896296296296297,0.48212530540032017,0.6457075458451516,1.0,0.3451093824594906,3.620640569395018,0.0,3.879132231404959,12.588787037037036,125.30526314470471,19.84,2351.6381048387098,1.077626764244642,0.2927217741935484,1,16.289496768440465,15.559945629928201,3.257899353688093,1.748236268363283,0,-3.4210768490074575,4.323917626016615,0.2882578913823398
5PAISA,5Paisa Capital Limited,INE618L01018,Stockbroking & Allied,Financial Services,Financial Services,Stockbroking & Allied,2017-11-16,10.0,31236338,Small,,961000666.6666666,464333.3333333333,961465000.0,176459000.0,62017333.333333336,31936000.0,431888000.0,259164666.66666663,65276333.333333336,193888333.3333333,6.21,6.16,194064000.0,312182333.3333333,10.0,477.76,475.68,85530,65.0476,-31.83,-0.9002,486.02,468.25,538.25,366.95,-0.001293,-0.002099,1.050081,-0.3195,8.4172,4.3274,0.1498,0.20175671053991637,0.5505851192611035,0.6210740090993832,0.2016592734351571,0.26968208832321305,0.9995170564364451,0.6330349406625455,5.446028066954174,0.06450295469240516,4.178906972244318,0.6216367144414536,76.59903381642512,47.595586531717046,179.80575176589304,1.0379498131340095,0.13674655230406996,2,20.683485661696725,19.08279295508857,8.27339426467869,-0.7278452803607005,0,-1.0404652413243691,-0.1935283094237621,0.41403180374837484
63MOONS,63 moons technologies limited,INE111B01023,Computers - Software & Consulting,Information Technology,Information Technology,Computers - Software & Consulting,2005-06-20,2.0,46078537,Small,,296546000.0,425791000.0,722337000.0,403269000.0,2263666.6666666665,80276000.0,445727333.3333333,-209199000.0,-1744000.0,-194695666.66666663,-3.1933333333,-3.1933333333,-198460666.66666663,92157000.0,2.0,552.85,551.34,326108,200.0499,69.56,1.2424,566.43,538.67,418.7,709.95,0.00275,-0.002347,1.031137,0.6792,9.8413,4.3879,0.004,-0.6565445720618946,-0.5030630436199892,-2.1126519598800595,-0.26953577992912814,-0.7054521052383104,0.41053691005721704,2.8629498739936916,0.7353553087393279,0.0031338096576344096,-92.41599175379179,-2.153506154352536,-172.65344467821143,275.67022135681503,591.4825697391809,1.0515343345647614,0.3628430732397432,2,19.507712911079683,0.0,7.803085164431873,-3.527295531941954,0,-1.9092078999394193,-0.7874402263371083,0.2977786617837279
ABINFRA,A B Infrabuild Limited,INE00YB01017,Civil Construction,Construction,Industrials,Civil Construction,2024-11-08,10.0,63878936,Small,,611366000.0,5224000.0,616590000.0,6905500.0,15229000.0,13640500.0,16258500.0,60612000.0,16362000.0,44250000.0,0.9,0.84,44250000.0,2661843437000.0,10.0,89.06,88.46,140002,5.5892,-10.64,-0.4604,92.36,84.83,90.69,81.04,-0.001117,-0.000622,1.02189,-0.0681,2.4603,2.4147,0.082,0.07237890232692037,0.9734062738196105,1.6623817683984995e-05,0.07176567897630516,0.09914192153309147,0.9915275953226618,0.03788892414691036,88.53319817536746,0.02469874633062489,3.980038085232123,1.6623817683984995e-05,98.28888888888888,0.002122863651563441,1582.6588288491976,1.0887657668277733,0.06318335971060367,2,20.231206357435155,17.60536595201708,8.092482542974063,-0.4438964738553956,0,-1.8247355523743414,-0.11007811082070895,0.4111934212843817
A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,Diversified Commercial Services,Services,Services,Diversified Commercial Services,2010-12-23,10.0,176119858,Micro,,818705333.3333334,31970333.33333333,850675666.6666666,399992000.0,19011666.666666668,12257000.0,69646000.0,15748666.666666666,9896000.0,-771666.6666666666,0.0933333333,0.0933333333,-771666.6666666666,1761199000.0,10.0,18.13,17.92,656348,2.8656,-26.81,-0.7532,18.57,17.43,18.91,13.84,-0.002854,-0.005866,1.042248,-0.1827,2.5794,4.115,0.0,-0.0009425450589467272,0.914931542321291,-0.00043814848104425827,-0.0009071220641474403,0.019236062140387505,0.9624177173674102,0.5736349586094468,2.046804269418722,0.022348901481058,0.8283685456298763,-0.00043814848104425827,192.00000006857144,1.7919995726547653,36626.5625,1.0654044750430294,0.15991071428571427,1,20.523234789939636,0.0,4.104646957987927,-0.783236693539991,0,-4.288755810347562,1.201063809589879,0.20949927198514162
