symbol,company_name,company_industry,sector,market_cap_category,confidence_score,uncertainty,high_confidence,sharpe_ratio,return_on_equity,profit_margin,year_change_percent
WSTCSTPAPR,West Coast Paper Mills Limited,Paper & Paper Products,Forest Materials,Small,0.9276291990280151,0.06431977679569181,True,-0.7336,7.304937748237419,0.09582582617374019,-27.52
JINDALPOLY,Jindal Poly Films Limited,Packaging,Capital Goods,Small,0.9101531088352204,0.051303869231531844,True,0.7007,2.198502163473982,0.07376330970483938,25.44
PRAKASH,Prakash Industries Limited,Iron & Steel,Metals & Mining,Small,0.9010359191894531,0.05539161197270958,True,0.2623,0.49255453800908344,0.08348397802953582,1.08
ELECTHERM,Electrotherm (India) Limited,Iron & Steel Products,Capital Goods,Small,0.8674960660934449,0.10254005159963905,True,4.901,6.715070643642072,0.08687366507688818,5.68
UFLEX,UFLEX Limited,Packaging,Capital Goods,Small,0.8647259414196015,0.10814615468493334,True,0.5433,1.0264967917647603,0.029451692839915607,15.48
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Sugar,Fast Moving Consumer Goods,Small,0.8334562861919403,0.17438351895677437,True,0.2974,4.081943586576076,0.07301721756744313,2.82
GOKULAGRO,Gokul Agro Resources Limited,Edible Oil,Fast Moving Consumer Goods,Small,0.8317120385169983,0.1233882502854586,True,1.6509,2.2239158846938922,0.013971664392211106,112.45
ZUARI,Zuari Agro Chemicals Limited,Fertilizers,Chemicals,Small,0.8250244969129562,0.1259399666943853,True,0.3361,1.6146774449199557,0.05847708159926524,5.1
ASHAPURMIN,Ashapura Minechem Limited,Industrial Minerals,Metals & Mining,Small,0.80258196413517,0.15244021286663673,True,0.4062,3.725610360376304,0.09640802593554233,6.03
LGBBROSLTD,LG Balakrishnan & Bros Limited,Auto Components & Equipments,Automobile and Auto Components,Small,0.7559392392635346,0.17894253800592327,True,-0.2163,2.2911348516241286,0.11422252565562095,-11.93
NAVNETEDUL,Navneet Education Limited,Printing & Publication,Media Entertainment & Publication,Small,0.750595680475235,0.13894442314608252,True,0.115,5.658506580915346,0.5596819352124328,-1.42
NORTHARC,Northern Arc Capital Limited,Non Banking Financial Company (NBFC),Financial Services,Small,0.7254144245386124,0.14014517166798174,True,-2.1136,0.6378689942348535,0.1511947246466847,-41.02
LUMAXTECH,Lumax Auto Technologies Limited,Auto Components & Equipments,Automobile and Auto Components,Small,0.7174244368076325,0.19194915885470776,True,0.5268,3.655489124454389,0.05970535176813861,13.81
RAMKY,Ramky Infrastructure Limited,Civil Construction,Construction,Small,0.704864827990532,0.1541974309607214,True,-0.2999,1.1732359058892894,0.1610613670746184,-24.62
KCP,KCP Limited,Cement & Cement Products,Construction Materials,Small,0.7029424864053726,0.19910308118743336,True,0.5389,4.71002689006102,0.09617196866788902,15.53
RPSGVENT,RPSG VENTURES LIMITED,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Services,Small,0.6856926763057709,0.17919057760413581,True,0.5664,1.5322856855041804,0.02152371060790226,17.45
SSWL,Steel Strips Wheels Limited,Auto Components & Equipments,Automobile and Auto Components,Small,0.6806668919324875,0.184219676067106,True,-0.3323,2.859584058183425,0.042135427094526695,-15.21
REPCOHOME,Repco Home Finance Limited,Housing Finance Company,Financial Services,Small,0.6665138274431228,0.15033082852134858,True,-0.4053,1.8160166240409208,0.27071313287921916,-20.29
MAITHANALL,Maithan Alloys Limited,Ferro & Silica Manganese,Metals & Mining,Small,0.6588744062185288,0.16988207918763187,True,-0.6457,7.890415664720027,0.5028313314555087,-24.37
