symbol,company_name,company_industry,sector,strength_probability,market_cap_category,intrinsic_label,sharpe_ratio,return_on_equity,profit_margin,year_change_percent
RAMCOIND,Ramco Industries Limited,Other Construction Materials,Construction Materials,0.99997103,Small,,0.3831,5.724763406940063,0.11707970097015347,7.54
KCP,KCP Limited,Cement & Cement Products,Construction Materials,0.9998975,Small,,0.5389,4.71002689006102,0.09617196866788902,15.53
MARICO,Marico Limited,Edible Oil,Fast Moving Consumer Goods,0.999892,Large,IN-M,1.382,3.3927648578811374,0.16207875570917174,39.41
VEDL,Vedanta Limited,Diversified Metals,Metals & Mining,0.9998896,Large,IN-L,0.255,12.705372616984404,0.15687323461439698,2.59
ISEC,ICICI Securities Limited,Stockbroking & Allied,Financial Services,0.99987924,Large,,1.1223,3.2080797697368424,0.31630082034171786,24.38
BLS,BLS International Services Limited,Tour Travel Related Services,Consumer Services,0.9998702,Mid,IN-S,0.4106,3.1931635016511186,0.2628578820231133,8.56
KPRMILL,K.P.R. Mill Limited,Other Textile Products,Textiles,0.9998652,Large,IN-M,0.6238,5.954359274429491,0.13218731732663622,17.59
KNRCON,KNR Constructions Limited,Civil Construction,Construction,0.9998466,Mid,,-0.038,5.892327887116942,0.2631786062962505,-11.0
SARLAPOLY,Sarla Performance Fibers Limited,Other Textile Products,Textiles,0.9998323,Small,,1.3577,1.969739692446606,0.15220993088725293,46.37
INTLCONV,International Conveyors Limited,Industrial Products,Capital Goods,0.99982566,Small,,-0.2235,4.136698212407991,0.8090488431876605,-17.15
ATLASCYCLE,Atlas Cycles (Haryana) Limited,Cycles,Consumer Durables,0.99981743,Micro,,40.9563,0.8742273747655217,1.0291413263828555,47.04
BLISSGVS,Bliss GVS Pharma Limited,Pharmaceuticals,Healthcare,0.99980646,Small,,0.4094,2.3336821045489278,0.12031688605166505,7.91
MANAPPURAM,Manappuram Finance Limited,Non Banking Financial Company (NBFC),Financial Services,0.9998041,Mid,IN-S,0.6386,2.542225372634729,0.18949939236671692,19.45
ASTERDM,Aster DM Healthcare Limited,Hospital,Healthcare,0.99979824,Large,IN-S,0.0898,3.541019378603459,1.9976320980589979,-4.29
NAVNETEDUL,Navneet Education Limited,Printing & Publication,Media Entertainment & Publication,0.9997898,Small,,0.115,5.658506580915346,0.5596819352124328,-1.42
INDOBORAX,Indo Borax & Chemicals Limited,Commodity Chemicals,Chemicals,0.9997831,Small,,0.2161,3.3514386620961885,0.25781636428288907,-0.9
BAJAJFINSV,Bajaj Finserv Limited,Holding Company,Financial Services,0.99977833,Large,IN-L,0.7707,26.74798888401345,0.13166630805011195,17.47
AEGISLOG,Aegis Logistics Limited,Trading - Gas,Oil Gas & Consumable Fuels,0.9997638,Large,IN-S,1.0333,4.529439696106363,0.1138430472080467,55.04
