symbol,company_name,isin,company_industry,sector,macro_category,basic_industry,listing_date,company_face_value,issued_size,market_cap_category,intrinsic_label,avg_revenue_from_operations,avg_other_income,avg_income,avg_employee_benefit_expense,avg_finance_costs,avg_depreciation_depletion_amortisation_expense,avg_other_expenses,avg_profit_before_tax,avg_tax_expense,avg_profit_loss_for_period,avg_basic_earnings_per_share,avg_diluted_earnings_per_share,avg_comprehensive_income,avg_paid_up_equity_share_capital,avg_face_value_equity_share_capital,avg_open,avg_close,avg_volume,volatility,year_change_percent,sharpe_ratio,avg_high,avg_low,year_start_price,year_end_price,avg_daily_return,avg_vwap_distance,avg_volume_spike,yearly_momentum_score,liquidity_score,stability_score,trend_strength
20MICRONS,20 Microns Limited,INE144J01027,Industrial Minerals,Metals & Mining,Commodities,Industrial Minerals,2008-10-06,5.0,35286502,Small,Unknown,2284600000.0,13464333.333333334,2298064333.333333,190991666.66666663,44646000.0,44336333.333333336,595686333.3333334,211515333.3333333,54467333.333333336,157576000.0,4.4533333333,4.4533333333,156473666.66666666,176433000.0,5.0,222.84,222.44,370105,54.1132,27.76,0.8427,229.81,216.55,152.75,195.15,0.002149,-0.003075,1.05616,0.3912,7.2619,2.8651,0.1319
21STCENMGM,21st Century Management Services Limited,INE253B01015,Other Capital Market related Services,Financial Services,Financial Services,Other Capital Market related Services,1995-05-03,10.0,10500000,Micro,Unknown,401382000.0,219666.6666666666,401601666.6666667,4210000.0,0.0,81000.0,2151666.6666666665,94914333.33333331,17769000.0,77145333.33333333,7.3466666667,7.3466666667,270241333.3333333,105000000.0,10.0,69.69,70.33,4915,1.3429,5.49,8.2813,70.72,68.52,67.9,71.63,0.007764,0.00748,,0.0543,0.0156,7.1513,0.4286
360ONE,360 ONE WAM LIMITED,INE466L01038,Stockbroking & Allied,Financial Services,Financial Services,Stockbroking & Allied,2019-09-19,1.0,393073939,Large,IN-M,8239766666.666667,961266666.6666666,9201033333.333334,2125666666.6666667,2221433333.333333,169533333.33333334,751033333.3333334,3408500000.0,856166666.6666666,2552333333.333333,6.9233333333,6.64,2551833333.333333,371966666.6666667,1.0,999.54,998.5,817552,138.6884,17.61,0.5964,1021.96,976.83,739.9,870.2,0.001032,-0.000806,1.021722,0.255,9.8413,4.1398,0.0202
3IINFOLTD,3i Infotech Limited,INE748C01038,Computers - Software & Consulting,Information Technology,Information Technology,Computers - Software & Consulting,2021-10-22,10.0,169627242,Small,Unknown,1477000000.0,34566666.666666664,1511566666.6666667,1072900000.0,20933333.33333333,68266666.66666667,328066666.6666667,21400000.0,18733333.33333333,2666666.6666666665,0.02,0.0166666667,2233333.333333333,1693966666.6666667,10.0,31.61,31.46,1039174,5.2735,-47.37,-1.0948,32.25,30.97,40.05,21.08,-0.002136,-0.004059,1.055783,-0.5276,9.8413,3.9885,0.2267
3MINDIA,3M India Limited,INE470A01017,Diversified,Diversified,Diversified,Diversified,2004-08-13,10.0,11265070,Large,IN-M,10824412000.0,189172333.3333333,11013584333.333334,1084059000.0,32854666.666666668,138610000.0,1456929333.3333333,1827270666.6666667,478283000.0,1348987666.6666667,119.75,119.75,1337559333.3333333,112651000.0,10.0,32667.28,32570.76,7097,3694.6217,-0.62,0.1171,33086.35,32137.39,29186.3,29006.3,0.000132,-0.000758,1.021796,0.0325,0.6985,6.5735,0.1255
3PLAND,3P Land Holdings Limited,INE105C01023,Investment Company,Financial Services,Financial Services,Investment Company,1995-07-19,2.0,18000000,Micro,Unknown,11869666.666666666,0.0,11869666.666666666,3278333.333333333,0.0,109000.0,818000.0,7664333.333333333,1941666.6666666667,5722666.666666667,0.3166666667,0.3166666667,453196333.3333333,36000000.0,2.0,39.91,39.68,93313,11.6152,32.52,1.2233,41.23,38.26,30.75,40.75,0.004994,-0.002077,1.106514,0.5494,4.1103,2.8757,0.0909
5PAISA,5Paisa Capital Limited,INE618L01018,Stockbroking & Allied,Financial Services,Financial Services,Stockbroking & Allied,2017-11-16,10.0,31236338,Small,Unknown,961000666.6666666,464333.3333333333,961465000.0,176459000.0,62017333.333333336,31936000.0,431888000.0,259164666.66666663,65276333.333333336,193888333.3333333,6.21,6.16,194064000.0,312182333.3333333,10.0,477.76,475.68,85530,65.0476,-31.83,-0.9002,486.02,468.25,538.25,366.95,-0.001293,-0.002099,1.050081,-0.3195,8.4172,4.3274,0.1498
63MOONS,63 moons technologies limited,INE111B01023,Computers - Software & Consulting,Information Technology,Information Technology,Computers - Software & Consulting,2005-06-20,2.0,46078537,Small,Unknown,296546000.0,425791000.0,722337000.0,403269000.0,2263666.6666666665,80276000.0,445727333.3333333,-209199000.0,-1744000.0,-194695666.66666663,-3.1933333333,-3.1933333333,-198460666.66666663,92157000.0,2.0,552.85,551.34,326108,200.0499,69.56,1.2424,566.43,538.67,418.7,709.95,0.00275,-0.002347,1.031137,0.6792,9.8413,4.3879,0.004
ABINFRA,A B Infrabuild Limited,INE00YB01017,Civil Construction,Construction,Industrials,Civil Construction,2024-11-08,10.0,63878936,Small,Unknown,611366000.0,5224000.0,616590000.0,6905500.0,15229000.0,13640500.0,16258500.0,60612000.0,16362000.0,44250000.0,0.9,0.84,44250000.0,2661843437000.0,10.0,89.06,88.46,140002,5.5892,-10.64,-0.4604,92.36,84.83,90.69,81.04,-0.001117,-0.000622,1.02189,-0.0681,2.4603,2.4147,0.082
A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,Diversified Commercial Services,Services,Services,Diversified Commercial Services,2010-12-23,10.0,176119858,Micro,Unknown,818705333.3333334,31970333.33333333,850675666.6666666,399992000.0,19011666.666666668,12257000.0,69646000.0,15748666.666666666,9896000.0,-771666.6666666666,0.0933333333,0.0933333333,-771666.6666666666,1761199000.0,10.0,18.13,17.92,656348,2.8656,-26.81,-0.7532,18.57,17.43,18.91,13.84,-0.002854,-0.005866,1.042248,-0.1827,2.5794,4.115,0.0
AAATECH,AAA Technologies Limited,INE0D0U01013,Consulting Services,Services,Services,Consulting Services,2022-11-28,10.0,12826800,Micro,Unknown,49606000.0,3820000.0,53426000.0,21900666.666666668,0.0,1107333.3333333333,19191333.33333333,11226666.666666666,2851000.0,8375666.666666667,0.6533333333,0.6533333333,8375666.666666667,128268000.0,10.0,109.77,108.67,76672,19.0544,-19.98,-0.1718,112.41,106.24,93.15,74.54,-0.000417,-0.005852,1.099801,-0.0817,5.9938,3.2731,0.1122
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,Housing Finance Company,Financial Services,Financial Services,Housing Finance Company,2024-05-15,10.0,431384459,Mid,IN-S,7538566666.666667,166666.6666666667,7538733333.333333,1088066666.6666667,2863533333.333333,62633333.333333336,497433333.3333333,2858133333.333333,634666666.6666666,2223466666.6666665,5.2433333333,5.08,2223466666.6666665,4290133333.3333335,10.0,416.9,416.59,1541648,33.6819,40.66,1.1289,425.88,408.12,329.45,463.4,0.00183,-0.000802,1.076668,0.4154,9.0476,4.3986,0.0132
AAKASH,Aakash Exploration Services Limited,INE087Z01016,Offshore Support Solution Drilling,Oil Gas & Consumable Fuels,Energy,Offshore Support Solution Drilling,2020-09-29,1.0,101250000,Micro,Unknown,241381666.66666663,4064666.6666666665,245446333.3333333,82535333.33333333,4567000.0,17465000.0,99764000.0,7232000.0,2023666.6666666667,5208333.333333333,0.0533333333,0.0533333333,5208333.333333333,101250000.0,1.0,10.55,10.46,343192,1.4528,-20.93,-0.1787,10.82,10.22,10.7,8.46,-0.000444,-0.004099,1.038774,-0.0818,7.3413,2.9354,0.1087
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals,2021-08-06,10.0,28354303,Micro,Unknown,1219480000.0,7581666.666666667,1227061666.6666667,1795333.3333333333,11214666.666666666,5123000.0,17722333.333333332,14922333.333333334,3077000.0,11845333.333333334,0.4233333333,0.4233333333,11845333.333333334,19638012100000.0,10.0,48.33,47.94,111808,9.77,-4.59,0.369,49.65,46.48,52.74,50.32,0.001326,-0.003893,1.025358,0.114,3.4524,3.2434,0.0465
