symbol,company_name,isin,company_industry,sector,macro_category,basic_industry,listing_date,company_face_value,issued_size,market_cap_category,intrinsic_label,avg_revenue_from_operations,avg_other_income,avg_income,avg_employee_benefit_expense,avg_finance_costs,avg_depreciation_depletion_amortisation_expense,avg_other_expenses,avg_profit_before_tax,avg_tax_expense,avg_profit_loss_for_period,avg_basic_earnings_per_share,avg_diluted_earnings_per_share,avg_comprehensive_income,avg_paid_up_equity_share_capital,avg_face_value_equity_share_capital,avg_open,avg_close,avg_volume,volatility,year_change_percent,sharpe_ratio,avg_high,avg_low,year_start_price,year_end_price,avg_daily_return,avg_vwap_distance,avg_volume_spike,yearly_momentum_score,liquidity_score,stability_score,trend_strength,profit_margin,return_on_equity,debt_to_income,operational_efficiency,earnings_growth,price_stability,risk_adjusted_return,market_cap_numeric,volume_to_market_cap,price_to_earnings,profitability,revenue_to_market_cap,earnings_stability,roi_potential,financial_health,financial_score
20MICRONS,20 Microns Limited,INE144J01027,Industrial Minerals,Metals & Mining,Commodities,Industrial Minerals,2008-10-06,5.0,35286502,Small,,2284600000.0,13464333.333333334,2298064333.333333,190991666.66666663,44646000.0,44336333.333333336,595686333.3333334,211515333.3333333,54467333.333333336,157576000.0,4.4533333333,4.4533333333,156473666.66666666,176433000.0,5.0,222.84,222.44,370105,54.1132,27.76,0.8427,229.81,216.55,152.75,195.15,0.002149,-0.003075,1.05616,0.3912,7.2619,2.8651,0.1319,0.0689731243981441,0.8931209014186688,0.019427654549270673,0.34433949050161955,0.8868730150633195,0.05294641603157825,23.393352,2,185052.5,49.94910179678106,0.0689731243981441,1142300000.0,2.41441977,0.020020380027423124,228460000.74902192,1.263662025816813
21STCENMGM,21st Century Management Services Limited,INE253B01015,Other Capital Market related Services,Financial Services,Financial Services,Other Capital Market related Services,1995-05-03,10.0,10500000,Micro,,401382000.0,219666.6666666666,401601666.6666667,4210000.0,0.0,81000.0,2151666.6666666665,94914333.33333331,17769000.0,77145333.33333333,7.3466666667,7.3466666667,270241333.3333333,105000000.0,10.0,69.69,70.33,4915,1.3429,5.49,8.2813,70.72,68.52,67.9,71.63,0.007764,0.00748,,0.0543,0.0156,7.1513,0.4286,0.19219928480433435,0.7347174603174603,0.0,0.015849406965600516,2.573726984126984,5.3252662149080345,45.464337,1,4915.0,9.573049001771446,0.19219928480433435,401382000.0,59.22206069,0.10445992701123276,80276417.84516998,9.194787745121793
360ONE,360 ONE WAM LIMITED,INE466L01038,Stockbroking & Allied,Financial Services,Financial Services,Stockbroking & Allied,2019-09-19,1.0,393073939,Large,IN-M,8239766666.666667,961266666.6666666,9201033333.333334,2125666666.6666667,2221433333.333333,169533333.33333334,751033333.3333334,3408500000.0,856166666.6666666,2552333333.333333,6.9233333333,6.64,2551833333.333333,371966666.6666667,1.0,999.54,998.5,817552,138.6884,17.61,0.5964,1021.96,976.83,739.9,870.2,0.001032,-0.000806,1.021722,0.255,9.8413,4.1398,0.0202,0.3097579624018479,6.861725961107625,0.24143302744981537,0.3491239638662907,6.860381754637511,0.029849648564696112,10.502604,4,204388.0,144.22243620676082,0.3097579624018479,2059941666.6666667,2.46897672,0.0069337339342013015,411988334.16834056,6.380999923509473
3IINFOLTD,3i Infotech Limited,INE748C01038,Computers - Software & Consulting,Information Technology,Information Technology,Computers - Software & Consulting,2021-10-22,10.0,169627242,Small,,1477000000.0,34566666.666666664,1511566666.6666667,1072900000.0,20933333.33333333,68266666.66666667,328066666.6666667,21400000.0,18733333.33333333,2666666.6666666665,0.02,0.0166666667,2233333.333333333,1693966666.6666667,10.0,31.61,31.46,1039174,5.2735,-47.37,-1.0948,32.25,30.97,40.05,21.08,-0.002136,-0.004059,1.055783,-0.5276,9.8413,3.9885,0.2267,0.0018054615211013313,0.0015742143686416495,0.01384876618078373,0.9485217783795984,0.0013184045337373813,0.7563288138807244,51.860676,2,519587.0,1573.0,0.0018054615211013313,738500000.0,-4.3666098,0.0006357279084551812,147699998.69068584,-1.1441553241102569
3MINDIA,3M India Limited,INE470A01017,Diversified,Diversified,Diversified,Diversified,2004-08-13,10.0,11265070,Large,IN-M,10824412000.0,189172333.3333333,11013584333.333334,1084059000.0,32854666.666666668,138610000.0,1456929333.3333333,1827270666.6666667,478283000.0,1348987666.6666667,119.75,119.75,1337559333.3333333,112651000.0,10.0,32667.28,32570.76,7097,3694.6217,-0.62,0.1171,33086.35,32137.39,29186.3,29006.3,0.000132,-0.000758,1.021796,0.0325,0.6985,6.5735,0.1255,0.12462456775173254,11.97492846638438,0.0029831039262331583,0.23474608443704223,11.873479448325654,0.0017792078685620236,-0.072602,4,1774.25,271.9896450939457,0.12462456775173254,2706103000.0,0.7697568499999999,0.003676610554988585,541220600.2690498,-24.72956396586389
3PLAND,3P Land Holdings Limited,INE105C01023,Investment Company,Financial Services,Financial Services,Investment Company,1995-07-19,2.0,18000000,Micro,,11869666.666666666,0.0,11869666.666666666,3278333.333333333,0.0,109000.0,818000.0,7664333.333333333,1941666.6666666667,5722666.666666667,0.3166666667,0.3166666667,453196333.3333333,36000000.0,2.0,39.91,39.68,93313,11.6152,32.52,1.2233,41.23,38.26,30.75,40.75,0.004994,-0.002077,1.106514,0.5494,4.1103,2.8757,0.0909,0.48212530540032017,0.15896296296296297,0.0,0.3451093824594906,12.588787037037036,0.2475807562504305,39.781716,1,93313.0,125.30526314470471,0.48212530540032017,11869666.666666666,3.5178438100000005,0.007980510753528226,2373934.53492017,1.748236268363283
5PAISA,5Paisa Capital Limited,INE618L01018,Stockbroking & Allied,Financial Services,Financial Services,Stockbroking & Allied,2017-11-16,10.0,31236338,Small,,961000666.6666666,464333.3333333333,961465000.0,176459000.0,62017333.333333336,31936000.0,431888000.0,259164666.66666663,65276333.333333336,193888333.3333333,6.21,6.16,194064000.0,312182333.3333333,10.0,477.76,475.68,85530,65.0476,-31.83,-0.9002,486.02,468.25,538.25,366.95,-0.001293,-0.002099,1.050081,-0.3195,8.4172,4.3274,0.1498,0.20175671053991637,0.6210740090993832,0.06450295469240516,0.6330349406625455,0.6216367144414536,0.06652666662567104,28.653366,2,42765.0,76.59903381642512,0.20175671053991637,480500333.3333333,-3.89552548,0.013054994954591321,96100065.56114703,-0.7278452803607005
63MOONS,63 moons technologies limited,INE111B01023,Computers - Software & Consulting,Information Technology,Information Technology,Computers - Software & Consulting,2005-06-20,2.0,46078537,Small,,296546000.0,425791000.0,722337000.0,403269000.0,2263666.6666666665,80276000.0,445727333.3333333,-209199000.0,-1744000.0,-194695666.66666663,-3.1933333333,-3.1933333333,-198460666.66666663,92157000.0,2.0,552.85,551.34,326108,200.0499,69.56,1.2424,566.43,538.67,418.7,709.95,0.00275,-0.002347,1.031137,0.6792,9.8413,4.3879,0.004,-0.6565445720618946,-2.1126519598800595,0.0031338096576344096,2.8629498739936916,-2.153506154352536,0.021934027460148692,86.421344,2,163054.0,-172.65344467821143,-0.6565445720618946,148273000.0,5.45152696,-0.005791949311314252,29654601.43733633,-3.527295531941954
ABINFRA,A B Infrabuild Limited,INE00YB01017,Civil Construction,Construction,Industrials,Civil Construction,2024-11-08,10.0,63878936,Small,,611366000.0,5224000.0,616590000.0,6905500.0,15229000.0,13640500.0,16258500.0,60612000.0,16362000.0,44250000.0,0.9,0.84,44250000.0,2661843437000.0,10.0,89.06,88.46,140002,5.5892,-10.64,-0.4604,92.36,84.83,90.69,81.04,-0.001117,-0.000622,1.02189,-0.0681,2.4603,2.4147,0.082,0.07237890232692037,1.6623817683984995e-05,0.02469874633062489,0.03788892414691036,1.6623817683984995e-05,0.43202962856938376,4.898656,2,70001.0,98.28888888888888,0.07237890232692037,305683000.0,-1.11172788,0.01017408998417364,61136599.69023013,-0.4438964738553956
A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,Diversified Commercial Services,Services,Services,Diversified Commercial Services,2010-12-23,10.0,176119858,Micro,,818705333.3333334,31970333.33333333,850675666.6666666,399992000.0,19011666.666666668,12257000.0,69646000.0,15748666.666666666,9896000.0,-771666.6666666666,0.0933333333,0.0933333333,-771666.6666666666,1761199000.0,10.0,18.13,17.92,656348,2.8656,-26.81,-0.7532,18.57,17.43,18.91,13.84,-0.002854,-0.005866,1.042248,-0.1827,2.5794,4.115,0.0,-0.0009425450589467272,-0.00043814848104425827,0.022348901481058,0.5736349586094468,-0.00043814848104425827,1.435999441652708,20.193292,1,656348.0,192.00000006857144,-0.0009425450589467272,818705333.3333334,-3.099418,0.005208333331473214,163741065.7376002,-0.783236693539991
