symbol,company_name,isin,company_industry,sector,macro_category,basic_industry,listing_date,company_face_value,issued_size,market_cap_category,intrinsic_label,avg_revenue_from_operations,avg_other_income,avg_income,avg_employee_benefit_expense,avg_profit_loss_for_period,avg_basic_earnings_per_share,avg_open,avg_close,avg_volume,volatility,year_change_percent,sharpe_ratio,beta,avg_daily_return,avg_vwap_distance,liquidity_score,stability_score,trend_strength
20MICRONS,20 Microns Limited,INE144J01027,Industrial Minerals,Metals & Mining,Commodities,Industrial Minerals,2008-10-06,5.0,35286502,Small,Unknown,2284600000.0,13464333.333333334,2298064333.333333,190991666.66666663,157576000.0,4.4533333333,222.84,222.44,370105,54.1132,27.76,0.8427,,0.002149,-0.003075,7.2619,2.8651,0.1319
21STCENMGM,21st Century Management Services Limited,INE253B01015,Other Capital Market related Services,Financial Services,Financial Services,Other Capital Market related Services,1995-05-03,10.0,10500000,Micro,Unknown,401382000.0,219666.6666666666,401601666.6666667,4210000.0,77145333.33333333,7.3466666667,69.69,70.33,4915,1.3429,5.49,8.2813,,0.007764,0.00748,0.0156,7.1513,0.4286
360ONE,360 ONE WAM LIMITED,INE466L01038,Stockbroking & Allied,Financial Services,Financial Services,Stockbroking & Allied,2019-09-19,1.0,393073939,Large,IN-M,8239766666.666667,961266666.6666666,9201033333.333334,2125666666.6666667,2552333333.333333,6.9233333333,999.54,998.5,817552,138.6884,17.61,0.5964,,0.001032,-0.000806,9.8413,4.1398,0.0202
3IINFOLTD,3i Infotech Limited,INE748C01038,Computers - Software & Consulting,Information Technology,Information Technology,Computers - Software & Consulting,2021-10-22,10.0,169627242,Small,Unknown,1477000000.0,34566666.666666664,1511566666.6666667,1072900000.0,2666666.6666666665,0.02,31.61,31.46,1039174,5.2735,-47.37,-1.0948,,-0.002136,-0.004059,9.8413,3.9885,0.2267
3MINDIA,3M India Limited,INE470A01017,Diversified,Diversified,Diversified,Diversified,2004-08-13,10.0,11265070,Large,IN-M,10824412000.0,189172333.3333333,11013584333.333334,1084059000.0,1348987666.6666667,119.75,32667.28,32570.76,7097,3694.6217,-0.62,0.1171,,0.000132,-0.000758,0.6985,6.5735,0.1255
3PLAND,3P Land Holdings Limited,INE105C01023,Investment Company,Financial Services,Financial Services,Investment Company,1995-07-19,2.0,18000000,Micro,Unknown,11869666.666666666,0.0,11869666.666666666,3278333.333333333,5722666.666666667,0.3166666667,39.91,39.68,93313,11.6152,32.52,1.2233,,0.004994,-0.002077,4.1103,2.8757,0.0909
5PAISA,5Paisa Capital Limited,INE618L01018,Stockbroking & Allied,Financial Services,Financial Services,Stockbroking & Allied,2017-11-16,10.0,31236338,Small,Unknown,961000666.6666666,464333.3333333333,961465000.0,176459000.0,193888333.3333333,6.21,477.76,475.68,85530,65.0476,-31.83,-0.9002,,-0.001293,-0.002099,8.4172,4.3274,0.1498
63MOONS,63 moons technologies limited,INE111B01023,Computers - Software & Consulting,Information Technology,Information Technology,Computers - Software & Consulting,2005-06-20,2.0,46078537,Small,Unknown,296546000.0,425791000.0,722337000.0,403269000.0,-194695666.66666663,-3.1933333333,552.85,551.34,326108,200.0499,69.56,1.2424,,0.00275,-0.002347,9.8413,4.3879,0.004
ABINFRA,A B Infrabuild Limited,INE00YB01017,Civil Construction,Construction,Industrials,Civil Construction,2024-11-08,10.0,63878936,Small,Unknown,611366000.0,5224000.0,616590000.0,6905500.0,44250000.0,0.9,89.06,88.46,140002,5.5892,-10.64,-0.4604,,-0.001117,-0.000622,2.4603,2.4147,0.082
A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,Diversified Commercial Services,Services,Services,Diversified Commercial Services,2010-12-23,10.0,176119858,Micro,Unknown,818705333.3333334,31970333.33333333,850675666.6666666,399992000.0,-771666.6666666666,0.0933333333,18.13,17.92,656348,2.8656,-26.81,-0.7532,,-0.002854,-0.005866,2.5794,4.115,0.0
AAATECH,AAA Technologies Limited,INE0D0U01013,Consulting Services,Services,Services,Consulting Services,2022-11-28,10.0,12826800,Micro,Unknown,49606000.0,3820000.0,53426000.0,21900666.666666668,8375666.666666667,0.6533333333,109.77,108.67,76672,19.0544,-19.98,-0.1718,,-0.000417,-0.005852,5.9938,3.2731,0.1122
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,Housing Finance Company,Financial Services,Financial Services,Housing Finance Company,2024-05-15,10.0,431384459,Mid,IN-S,7538566666.666667,166666.6666666667,7538733333.333333,1088066666.6666667,2223466666.6666665,5.2433333333,416.9,416.59,1541648,33.6819,40.66,1.1289,,0.00183,-0.000802,9.0476,4.3986,0.0132
AAKASH,Aakash Exploration Services Limited,INE087Z01016,Offshore Support Solution Drilling,Oil Gas & Consumable Fuels,Energy,Offshore Support Solution Drilling,2020-09-29,1.0,101250000,Micro,Unknown,241381666.66666663,4064666.6666666665,245446333.3333333,82535333.33333333,5208333.333333333,0.0533333333,10.55,10.46,343192,1.4528,-20.93,-0.1787,,-0.000444,-0.004099,7.3413,2.9354,0.1087
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals,2021-08-06,10.0,28354303,Micro,Unknown,1219480000.0,7581666.666666667,1227061666.6666667,1795333.3333333333,11845333.333333334,0.4233333333,48.33,47.94,111808,9.77,-4.59,0.369,,0.001326,-0.003893,3.4524,3.2434,0.0465
AARON,Aaron Industries Limited,INE721Z01010,Industrial Products,Capital Goods,Industrials,Industrial Products,2020-11-06,10.0,10473239,Micro,Unknown,179389666.66666666,517666.6666666667,179907666.66666666,16192666.666666666,18299666.666666668,1.7433333333,300.31,299.76,19002,41.3287,39.28,0.9852,,0.001712,-0.003619,1.8701,3.3955,0.0486
AARTECH,Aartech Solonics Limited,INE01C001026,Heavy Electrical Equipment,Capital Goods,Industrials,Heavy Electrical Equipment,2023-07-10,5.0,26475313,Micro,Unknown,85995000.0,12308333.333333334,98303333.33333331,10029333.333333334,14632333.333333334,0.6766666667,81.33,81.07,271644,31.8827,-51.83,-0.5971,,-0.002651,-0.002832,4.3651,4.0712,0.0459
AARTIDRUGS,Aarti Drugs Limited,INE767A01016,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals,2003-09-19,10.0,91270000,Small,IN-Mi,5700900000.0,48300000.0,5749200000.0,269166666.6666667,351066666.6666667,3.8366666667,471.01,469.17,214361,63.1653,-32.91,-1.0634,,-0.0014,-0.001771,9.8413,4.8452,0.1336
