Symbol,QuartersAvailable,Avg_RevenueFromOperations,Avg_OtherIncome,Avg_Income,Avg_EmployeeBenefitExpense,Avg_FinanceCosts,Avg_DepreciationDepletionAndAmortisationExpense,Avg_OtherExpenses,Avg_Expenses,Avg_ProfitBeforeTax,Avg_TaxExpense,Avg_ProfitLossForPeriod,Avg_BasicEarningsLossPerShareFromContinuingOperations,Avg_DilutedEarningsLossPerShareFromContinuingOperations,Avg_ComprehensiveIncomeForThePeriod,Avg_PaidUpValueOfEquityShareCapital,Avg_FaceValueOfEquityShareCapital,Avg_DilutedEarningsLossPerShare,AvailableQuarters
20MICRONS,3,2284600000.0,13464333.333333334,2298064333.3333335,190991666.66666666,44646000.0,44336333.333333336,595686333.3333334,2083480333.3333333,211515333.33333334,54467333.333333336,157576000.0,4.453333333333333,4.453333333333333,156473666.66666666,176433000.0,5.0,,"first,second,third"
21STCENMGM,3,401382000.0,219666.66666666666,401601666.6666667,4210000.0,0.0,81000.0,2151666.6666666665,306687333.3333333,94914333.33333333,17769000.0,77145333.33333333,7.346666666666667,7.346666666666667,270241333.3333333,105000000.0,10.0,,"first,second,third"
360ONE,3,8239766666.666667,961266666.6666666,9201033333.333334,2125666666.6666667,2221433333.3333335,169533333.33333334,751033333.3333334,5500433333.333333,3408500000.0,856166666.6666666,2552333333.3333335,6.923333333333333,6.640000000000001,2551833333.3333335,371966666.6666667,1.0,,"first,second,third"
3IINFOLTD,3,1477000000.0,34566666.666666664,1511566666.6666667,1072900000.0,20933333.333333332,68266666.66666667,328066666.6666667,1490166666.6666667,21400000.0,18733333.333333332,2666666.6666666665,0.020000000000000018,0.01666666666666668,2233333.3333333335,1693966666.6666667,10.0,,"first,second,third"
3MINDIA,3,10824412000.0,189172333.33333334,11013584333.333334,1084059000.0,32854666.666666668,138610000.0,1456929333.3333333,9186313666.666666,1827270666.6666667,478283000.0,1348987666.6666667,119.75,119.75,1337559333.3333333,112651000.0,10.0,,"first,second,third"
3PLAND,3,11869666.666666666,0.0,11869666.666666666,3278333.3333333335,0.0,109000.0,818000.0,4205333.333333333,7664333.333333333,1941666.6666666667,5722666.666666667,0.31666666666666665,0.31666666666666665,453196333.3333333,36000000.0,2.0,,"first,second,third"
5PAISA,3,961000666.6666666,464333.3333333333,961465000.0,176459000.0,62017333.333333336,31936000.0,431888000.0,702300333.3333334,259164666.66666666,65276333.333333336,193888333.33333334,6.21,6.16,194064000.0,312182333.3333333,10.0,,"first,second,third"
63MOONS,3,296546000.0,425791000.0,722337000.0,403269000.0,2263666.6666666665,80276000.0,445727333.3333333,931536000.0,-209199000.0,-1744000.0,-194695666.66666666,-3.1933333333333334,-3.1933333333333334,-198460666.66666666,92157000.0,2.0,,"first,second,third"
A2ZINFRA,3,818705333.3333334,31970333.333333332,850675666.6666666,399992000.0,19011666.666666668,12257000.0,69646000.0,851453333.3333334,15748666.666666666,9896000.0,-771666.6666666666,0.09333333333333334,0.09333333333333334,-771666.6666666666,1761199000.0,10.0,,"first,second,third"
AAATECH,3,49606000.0,3820000.0,53426000.0,21900666.666666668,0.0,1107333.3333333333,19191333.333333332,42199333.333333336,11226666.666666666,2851000.0,8375666.666666667,0.6533333333333333,0.6533333333333333,8375666.666666667,128268000.0,10.0,,"first,second,third"
